"Blue" Imcrix
Ahrnell
Ahsi Yim
Ahsmar
Ahsoka Tano
Ai-Ari Kuldi
Aia
Aiaks Fwa
Aidan Bok
Aidan Vurt
Aidarro
Aidel Saxan
Aidus
Aigorn
Aika Lars
Aila Helano
Ailyn Vel
Aimee Kraeff
Aimi Loto
Ainlee Teem
Ainvar ul-Esca
Aiolin Astarte
Airba
Airen
Airen Cracken
Airten
Ait Convarion
Aitalla Girard
Aitan Brewgs
Aito Laff
Aj Koenes
Aja Novar
Aja Sen
Ajaan
Ajaf
Ajai Fel
Ajalo Nills
Ajax Wennel
Ajen Smuckles
Ajoha Jeh
Ajolin
Ajunta Pall
Ajunta Pall's Jedi Master
Ajuur
Ajuva Vanasterin
Ak'ghal Usar
Ak-Buz
Ak-rev
Akaavi Spar
Akaavi Spar's mother
Akal Colzet
Akal Zed
Akana-Tok
Akanah Norand Goss Pell
Akanseh
Akar-Deshu
Akary Smith
Akaste'vel
Akeeli Somerce
Aken (Ferroan)
Akero
Akers Radch
Akh'laht
Akial
Akimbo
Akindra
Akkar Plint
Akkere
Akkik
Akku Seii
Akkus Meik
Aklan Urshant
Ako Domi
Akobi
Akrim
Akris Ur'etu
Akriss Veng
Aks Moe
Akshae Shanka
Aktik
Akul Witig
Akure
Al T. Nadder
Al'art
AlGray
Ala Cornin
Ala Kimbo
Alabar Double Ax
Aladaire Curovao-Simo
Alain (Human)
Alain Gryphon
Alakai Trotter
Alam Syk
Alamar
Alana Walden
Alandra Mipsy
Alani
Alaqua
Alara
Alara Fax
Alara Galir
Alara Galir's mother
Alaric (Sephi)
Alaric (Sith)
Alarii
Alarik
Alarik X
Alasdair Bumbalough
Alastar Treen
Alauni
Alavai
Albathius
Albea
Albee Dewaw
Alben Kultosi
Albrek (junior)
Albrek (senior)
Alby Ermad
Alcra
Aldalad
Aldanna
Aldar Beedo
Alde (Baron)
Alde (Count)
Alden Kraimer
Alder
Alder Sodoth
Aldiae
Aldogh
Aldren Dayos
Aldrich Kugel
Alduq Besene
Aleas Rans'ery
Alebry Slemic
Alec (Human)
Alec (Jedi)
Alec Efran
Alec Lamere
Alec Mard
Alec Pradeux
Alecia Beck
Aleck W'a Ni Odus
Aleco Stusea
Alecs Brellar
Aleea Ressel
Aleema Finn
Aleema Keto
Alek Ben-Faris
Alek Teral
Alekam
Aleksei Dorne
Aleksin
Alema Rar
Alendar Jarvis
Aleson Gray
Alessi Quon
Alet Komain
Aleth Par
Alethios
Alex Dei-Licoli
Alex Pyagg
Alexander Julstan IV
Alexandra Winger
Alexem
Alexi Garyn
Alexir Lands
Alexis Cov-Prim
Alexsandr Badure
Aleyna Hark
Alferon Choots Bemming
Alfi
Alfonso Luiz Obota
Alfreda Goot
Alger
Algrann
Algrunar
Alhond Robari
Ali Tarrak
Ali-Alann
Ali-Le
Ali-Vor
Alia Terae
Alianda
Alianna Slen
Alic Surn
Alicka
Alie
Aliea Tanner
Alif
Alijah Orr
Alikka Nolan
Alilia
Alim'Gen
Alima
Alimet
Alin
Alin Eerin
Alina Impeveri
Alinda Solaris
Aliniaca Verr
Alinn Varth
Alinta
Alis
Alis Saro-Bakvalen
Alisande
Alisia (Gran)
Alisia (Human)
Alison Dawn
Alistar Dadefra
Alistay Vaganon
Alita Sweetwater
Alitra
Alix
Alix Balan
Aliza Darsk
Alkhara
Alkin Saad
Alku Vordu
Allana Solo
Allandria Evlan
Allania Jakien
Allania Jakien's father
Allania Jakien's mother
Allara
Allard Lissara
Allaya Djo
Allen Neff
Allexia Evlan
Alli Krieger's sister
Allia (Human)
Allia (Twi'lek)
Allian
Allic
Alliin Mepou
Allion Vlenda
Allura
Allya
Allynic E'Kles
Alma
Almak (Human)
Almar Varangi Ferd
Almec
Almera Zan
Alner
Alok Adasca
Alole
Alon
Alonzo
Aloor
Alor Keto
Alor-Wan
Alora
Alora (child)
Alowi Fintz
Aloysius Kallig
Alozen
Alph (Rogue)
Alph (guard)
Alpha (clone)
Alpha 58
Alpha-17
Alpha-26
Alpha-30
Alpha-66
Alpha-956
Alpiett Gredge
Alres Demophon
Alric Adannon
Alroy Kever
Alrrark
Alrym II
Alsia Rost
Alta Dayson
Alta Ranga
Altaca
Altah
Altana Thul
Altapi T'mman
Althon
Althu
Altiss
Alto
Alto Janss
Alto Stratus
Alton Kastle
Alton Lochner
Alum Frost
Alurali
Alva
Alvania
Alvena
Alvida Suar
Alvon Zamar
Alvor Cano
Alwynn
Alya Aldrete
Alya Selray
Alyak
Alyla Cylone
Alyn Rae
Alyos Sek-Shele
Alys
Alyssa
Alyssia
Alysssa Maggrit
Alysssa Maggrit's uncle
Alysun Celz
Alzar Golan
Alzoc III Food Commissioner
Am Serro
Amada Lakhasa
Amaiza Foxtrain
Amalia
Amamanam
Amanaman
Amanoa
Amanza Regalo
Amar Cros
Amara (Human)
Amara Jedselk
Amaran (Rattataki)
Amarent Loren
Amaro Fonteen
Amasi
Amatha Fetz
Amaya
Amaya Kymeri
Ambak
Ambaln
Ambassador (Sith Empire)
Amber Comark
Amber Jevanche
Amberson
Ambre Junsen
Ambris Selit
Amda Wabo
Amden vor Keioidian
Amdra
Ame Llom
Amee
Ameesa Darys
Amel Bakli
Amel Fortoon
Ament
Amer Tariq
Ames
Ames Bunkle
Ames Miss'd
Ames Uravan
Amick Mudd
Amie Antin
Amier Candle
Amikab
Amil Karsk
Amille Razna
Amin Galingal
Amin-Le
Amir D'Vail
Amira Nasrabi
Amis
Amise Griff
Amisus Funti
Amit Noloff
Amita Fonti
Amm Natejeka
Ammar
Amminius Goodner
Ammon
Ammow Dowwop
Amni Ponnar
Amni Ponnar's father
Amni Ponnar's mother
Amniva Silvoi
Amon
Amonos
Amos Granley
Amos Torq
Amp
Amrashad
Amrosio
Amry
Amy (Festival of Love)
Amy (Magnus)
Amyva Va'new
Amzartho
An'Kwee
An'bal
An'ya Kuro
Ana (Receptive Telepathy)
Ana Blue
Ana Tathis
Ana Zett
Anaakin Solo
Anabar
Anachro
Anakaret
Anakin Skywalker
Anakin Skywalker's friend
Anakin Solo
Ananah Kragana
Ananda Dwyce
Anandra Milon
Anandra Milon's father
Anandra Milon's mother
Anandra Milon's next door neighbor
Anandra Milon's uncle
Anarc
Anarine
Anarq
Anarra
Anathel
Anathemos
Anatta
Anavus Svag
Anbav'k
Anbow
Anchor Blue
Ancient terentatek
And-Yees
Anda
Andal Sait
Andan
Andar Sizzton
Andar Suquand
Andel
Andel Tanner
Ander Onos
Ander Rendrake
Anders (corporal)
Andershan
Anderton Kloff
Andevid
Andevor Javin
Andews Rolo
Andi Dae
Andi Tolen
Ando (clone trooper)
Ando (general)
Andon Organa
Andoorni Hui
Andor
Andor Javin
Andor Vex
Andoran
Andos Delvaren
Andov Syn
Andra (Telos IV)
Andra (captain)
Andra Cressen
Andra's father
Andras Pell
Andray
Andreaus Thos
Andrel Lacmar
Andren Biel
Andrephan Stormcaller
Andrew
Andrew Woolfson
Andria
Andria E'liyha
Andrid
Andrik
Andrithal Robb-Voti
Andro Hoverdale
Androclus Methodius
Andronikos Revel
Andronikos Revel's father
AndroosinLiann
Andros Hareel
Andru
Andur Melor
Andur Sunrider
Andur Thorsim
Andurgo
Andus Urshant
Anduvil
Anduvil's father
Aneash Maglea
Aneesa Dym
Aneese Palladane
Anena Seertay
Anet Karl
Anetia Kah'ryn
Anev Xydes
Anf Dec
Anga
Angaar
Angber Trel
Angela
Angela Krin
Anger
Angilar Bosh
Anglu
Angmi Lihosh
Ango Croom
Angol Martilla
Angor Farn
Angrail Ryhl
Angrigo
Angry Rodian
Angu Drombb
Anhur
Ania Solo
Anib Ney
Anii Degarienne
Anim Kahn
Anis
Anise I'Zak
Anita B'ath
Anitol Rosspar
Anj Dahl
Anj Rujj
Anj Zavor
Anj'a
Anja Gallandro
Anjavay Rosit
Anjeru Valett
Anjet Okeco
Anki Pace
Anky Fremp
Anlen
Anlys Takkar
Ann Gella
Ann'ya
Anna
Anna (miner)
Anna Seertay
Annabel Blaine
Annadale Fayde
Annah Dublavviane
Annance
Anni Capstan
Anniha Nega
Annikin Starkiller
Annileen Calwell
Annissya
Anniya
Annloc Yerj
Anno Wen-Chii
Annor Fash
Annora Calandra
Annowiskri
Annoying female
Anod
Anok
Anoon Bondara
Anoon'olan
Anora
Anora Fair
Anora Jessel
Anorad Estuan
Anoura
Anoush Rahn
Anrick
Anselm
Anselm Miclyne
Ansibella Delu
Ansible Beelyard
Ansin Thobel
Anskow
Anson
Anson Blazer
Anson Trask
Anson Trask's father
Anspi'shel
Anstiss
Ansween
Antan Azzameen
Antar Bintaghr
Antares Draco
Antaria Wellos
Antayen
Antbbianplourr III
Antes Belladar
Antha-Kres
Antidar Williams
Antilles (Mere)
Antin Fessiq
Antinnis Tremayne
Antoc Merrick
Antoll Jellrek
Antom Moria
Anton Brunwin
Anton Kale
Anton Standish
Antona
Antone
Antonin
Antron Bach
Antrot
Antyard-Wo Shissan
Anuli
Anvar Keyis
Anwis Eddicus
Anya Darklighter
Anya Foravis
Anya Razar
Anyar
Anyara
Anyarah
Anyul
Anyza Ekull
Anzati pirate co-pilot
Aola Blen
Aoloiloa
Ap Kormar
Ap'Sareb
Apailana
Apelben Werl
Apex One
Aphel Jaarn
Aphiram Clay
Apnok'k
Apolin
Aponte
Appleton
Appo
Apted Squelsh
Apwar Trigit
Aqinos
Aquella Firth
Aquillia
Aqzow
Ar'al Anec
Ar'alani
Ar'wa Nonshik
Ara
Ara Barotta
Ara Garren
Ara Niorri
Arabelle Lorteli
Arac
Arack Dostryt
Arada Turhaya
Aradasa Vurse
Aragh
Aragon
Arajen Turmen
Arak Drayen III
Arak Malkan
Arakkus
Aral tukor Viest
Aralah Ren
Arali Dil
Aralina Silk
Aramb
Aramis
Aramis Kariya
Aran (Elomin)
Aran Cho
Aran Starfire
Arani Korden
Arankau
Arastide
Arawynne
Arb Skynxnex
Arbeloa
Arber
Arbian J. Lemmeloth
Arbmab
Arbo
Arbo (Senator)
Arboga
Arca Jeth
Arcann
Arcel Mosbree
Archa Sabis
Archer
Archiban Frodrick Kimble
Archimar
Archyr Beil
Arcuse
Ardal
Ardan
Ardana Cinn
Ardana Mitt'Ayehe
Ardax
Arden (Cold War)
Arden (Rydonni Prime)
Arden Lyn
Ardia Terrsyn
Ardiff
Ardin Deltura
Ardin Deltura's father
Ardle
Ardmore
Ardon (Cold War)
Ardon (Galactic Civil War)
Ardon Crell
Ardot
Ardran
Ardran's apprentice
Ardray
Ardun Kothe
Ardus Kaine
Ardustagg
Arecelis Acosta
Areilla Nastascha
Arek Emjon
Aren Bron
Aren D'skaun
Aren Folee
Arend Shen
Ares Jansen
Ares Nune
Areta Bell
Arfan Ramos
Argaloh Adasca
Argaloh Adasca's father
Argast
Argat
Argel Tenn
Argog
Argon (Grand Moff)
Argon Doehn
Argona
Argor
Argos
Argyus
Arhul Crace
Arhul Hextrophon
Arhul Holt
Arhul Kurumenga
Arhul Narra
Arhul Nemo
Ari
Ari Melast
Ari Skyff
Arian Laabann
Arias
Ariavos
Aric Jorgan
Aric Nightdrifter
Arick Tamso
Aricos Dreleene
Ariela
Ariella
Arien Yage
Arigo
Arihnda Pryce
Arik Stijhl
Arikakon Baraka
Aril Kyak
Aril Nunb
Arim
Ariq Joanson
Ariq Melvar
Aris (Human)
Aris Vauranelle
Aris-Del Wari
Ariss Lyjan
Arissa Fawn
Arista Kabul
Arjon F.M.P.
Arjur
Ark Brell
Ark Poinard
Ark Roose
Ark Rutendo
Ark'ik
Arkadia Calimondra
Arkahn Greystar
Arkan
Arkeld
Arkhan Brem'tu
Arkin Bel
Arkis Wode
Arkoh Adasca
Arkon Lok
Arkos Rakton
Arkos Sovrit
Arl
Arl Nidder
Arl'Tokor
Arl'Toral
Arla Fett
Arlaia Zayzen
Arlain Zee
Arlan Barrezz
Arleil Schous
Arlem Demonrunner
Arleyk Smaugan
Arligan Zey
Arliz Hadrassian
Arliz Hadrassian's brother
Arljack
Arlo
Arlo Grennen
Arlo Hirken
Arlo Tyre
Arlos
Arlumek
Arly Bron
Armala
Armand Isard
Armand Isard's brother
Armanda Durkin
Armang
Armaruk
Armatan
Armen Arandis
Armennion Ullgusta
Armin Devonan
Armitage
Armitage Hux
Armitage Hux's mother
Armored Whisper
Armstrong
Army (Mandalorian War)
Arn Horada
Arn Tan Yolar
Arnama
Arnat
Arndall Lott
Arne
Arnecio Ulvaw'op
Arnell Hyland
Arner Figgis
Arnet
Arno (Tatooinian)
Arno (Zeltron)
Arno (stormtrooper)
Arno D'Vox
Arno Xan
Arnod
Arnoth Draenell
Arnothian
Arns Grimraker
Arnth
Arnus
Arok
Aron Harcourt
Aron Holt
Aron Onstall
Aron Peacebringer
Aros
Arosh
Aroy Sekun
Arr'yka
ArrGack
Arra Yooms
Arrad
Arran Flekk
Arratan
Arrax
Arrax (Zarro's father)
Arrejis Mellaha
Arrek Von Sarko
Arren Kae
Arrianya Bel Iblis
Arribid Bensen
Arric
Arrin Nikols
Arris Rossum
Arrisan Djo
Arrissa n'Osnyi
Arrizza
Arro Basteren
Arrogha
Arrud Barsoomu
Arruna
Arruna Var
Arrworr
Ars Dangor
Ars Fivvle
Ars Veruna
Arsad
Arsha Lome
Arsin Crassus
Arsitta Kushoe
Arslynd
Artagan Truax
Artano
Artar Mothma
Artel
Artel Darc
Artemis Oophanoe
Arth Gxin
Arthen Brutt
Artis Moonrunner
Artogg
Artok
Artonian Dobonold
Artoz
Artruk
Artuo Pratuhr
Artur Manliss
Arturo
Artzam Hathan
Aru-Wen
Aruden Kej
Aruk Besadii Aora
Arum Oru
Arun Feb
Arundel
Aruteous Gunnay
Arvakke
Arvan Carrick
Arvel Crynyd
Arvel Trace
Arven Wendik
Arvid Scraf
Arvin Tadle
Arviz Linden
Arwen Cohl
Arwen Zherooh
Aryn Dro Thul
Aryn Leneer
Aryzah
Arzanon
Arzhura
Asa Naga
Asa-Ku
Asaak Dan
Asadia Boresa
Asajj Ventress
Asajj Ventress's mother
Asani
Asanté Vos
Ascercia
Asenec
Ash B'risko
Ash Jarvee
Ash'ett
Ash-Streak
Asha
Asha (Naboo)
Asha Fahn
Asha-Mu
Ashaad
Ashaar Khorda
Ashala Ma-dred
Ashana
Ashara Zavros
Ashe
Ashel
Asher Zavros
Ashielle Skamini
Ashii Nermani
Ashka Boda
Ashla (Jedi)
Ashpidar
Ashu-Nyamal
Ashur Sungazer
Ashwyn Tejera
Ashy
Asirr
Ask Aak
Asli Krimsan
Asora
Asori Rogriss
Asperago
Asran Headows
Asset C-5
Asset I-12
Asset I-29
Asset I-32
Asset I-4
Asset I-40
Asset I-44
Asset O-9
Asset R-10
Asset R-104
Asset R-12
Asset R-27
Asset R-3
Asset R-31
Asset R-89
Asset SF-5
Astaal Vilbum
Astar Vanqor
Astar Vox
Astaroth
Astarta
Asteria
Astina Griek
Astina Griek's husband
Astina Griek's son
Astor
Astraal Vao
Astre-De-Kay
Astred
Astri Oddo
Astrinol Hja
Asvo Tel
Asyr Sei'lar
At'raoth
Atai Molec
Atali
Atallo
Atar
Atetu
Ath'en'terro
Atha Prime
Athadar Gyad
Athal-Je
Athelis Kallis
Atheloe
Athgar Heece
Athleenia Dannuz
Athnalu
Athok Dinvar
Athon Skims
Atin Attan
Atin Skirata
Atlan Dubreas
Atlee Thanda
Atmino
Atoko
Atour Riten
Atren
Atresh Pikil
Atril Neff
Atril Tabanne
Atris
Attabura
Attark
Attatag Gosem
Attichitcuk
Attichitcuk's father
Attico Wred
Atticus Farstar
Attie
Attiera
Attimun
Attimun's daughter
Attimun's son
Attimun's wife
Atton Rand
Atton Repness
Attros Finn
Attuma Duum
Atuarre
Auben
Aubin Kleej
Aubin Kleej's mother
Aubrie Wyn
Aubro Ahntanda
Auddo Slokay
Audila
Augara Jowil
Augatta
Augin Blaesus
Augusta I'att
Augustus Tryll
Augwynne Djo
Augwynne Djo's male servant
Aujante K'lee
Aul Tarrus Vishav
Aula Silvana
Aulus G'luun
Aunuanna
Aur Myss
Aurei Eadon
Aurelant
Aurelant's brother
Auren Yomm Baobab
Auric Graf
Aurilan
Aurin Leith
Aurora Adasca
Aurra Sing
Aurra Sing's father
Aurren Tuile Panteer
Ausar Auset
Ausec Grogle
Auselio Gann
Austin
Auxi Kray Korbin
Av'muru
Ava Jaxo
Ava Seldin
Avalon
Avamarivash
Avan
Avan Beruss
Avan Post
Avanj
Avarik
Avaro Sookcool
Avarok
Avax
Aveca Dunn
Aved Luun
Aven
Aven (clone trooper)
Aven Cholus
Aven Geth
Aven Rolk
Aven'sai'Ulrahk
Averdon
Averen
Averon
Avers
Avery Linnix
Aves
Aves (general)
Aveso Ars
Aveton Prit
Avia Mur
Avik Lore
Avin Solus
Avinoam Arelis
Aviso
Avitla
Avke Saz'ula
Avoira
Avorr
Avrak Villachor
Avrey
Avril Gresh
Avrun
Awdrysta Pina
Axe (clone trooper)
Axela Zin
Axela Zin's son
Axeman
Axis
Axkatta
Axkva Min
Axton Tredway
Axtor Bridgeman
Ayanos Bactra
Ayar
Aycee Lameers
Ayddar Nylykerka
Ayjae
Ayk Arko
Ayla Shar
Ayn Eckener
Ayo Morota
Ayor-v9
Ayx
Ayy Vida
Az-Iban
Aza Gundo
Azalie
Azanti Zhug
Azarea Balawii
Azarin
Azbeth
Azca
Aziel
Azkul
Azlyn Rae
Azmar Huun
Azmorigan
Azook
Azoora
Azraj-Nug
Azrakel
Aztin Maru
Azula-Hej
Azzenaj
Azzim Anjiliac Atirue
Azzur Nessin
B'Crevnis
B'Dayne Wallamoll
B'Zun Mai
B'ante Hatcher
B'arin Apma
B'dard Tone
B'dasssa
B'ink Utrila
B'inka Fibuna
B'karitz
B'olba
B'ree
B'shith Vorrik
B'skott
B'ura B'an
B'wuf
B. Hensworth
B4711
BL-1707
BN-749
BNI-393's master
BO-661
BT-413
Ba'Ols
Ba'Seet
Ba'teil Skaveez
Ba'tra
Baad Walusari
Baajik
Baarak Kalaim
Baasen Ray
Baash
Baavil
Bab Esrus
Babalabbet Swoont
Babbnod Luroon
Babel Senjorg
Babel Torsch
Babo
Baboo
Bacara (Jedi)
Bacca
Baccam Grafis
Bachenkall
Backdraft
Baco Par
Bad-eye
Baddon Fass
Badji
Badmil
Badna
Bado Karpa
Bael
Baela Tiwosh
Baeshana
Bafor
Baftu
Bagar Nei-Leit
Baggro
Bagitt
Bahb
Bahima
Bahlea
Bahlea's husband
Bahm Gilyad
Bahni
Bahzel
Bail Antilles
Bail Antilles (Galactic Alliance)
Bail Antilles (New Galactic Empire)
Bail Antilles (Rebel Alliance)
Bail Antilles's wife
Bail Falcris
Bail Organa
Bail Prestor Organa
Bail Prestor Organa's regent
Bailey
Bailie
Baintorf
Baird Kantoo
Bairdon Jace
Bairn
Baiuntu
Baj Takoon
Baji
Bakash
Bakishan
Bakk
Bakkel
Bakken
Bakki Sourthol
Bakki Sourthol's father
Bakko
Bakku
Bakmar
Bakura Orbital Control operator
Bakuush
Bal Ferensil
Bal Jaset
Bal Serinus
Bala Nisi
Bala-Tik
Baladdok
Balahteez
Balan Karus
Balancesheet
Balankin
Balaro
Balass ke Teldan
Balawan
Balazausa
Balcomb
Bald Daimanate Officer
Baldarek
Balderik Rajana
Baldwin
Baldy
Bale
Baleeq Soobo
Balek
Balfur Jhcor
Balia Alloo
Balic Cormac
Balig
Balionn-Gur
Balisk
Baljos Arnjak
Balkin
Balko
Ballala
Ballard
Ballax
Ballifore Figg
Ballin Dreshig
Balliol
Ballon
Balluzikik
Balmai Wyngarde
Balog (Chiss)
Balog (Human)
Baloob
Baltan Carid
Balthazar Sim
Baltke
Balto
Baltor Yfridian
Balunta
Bama Vook
Bamfurd
Bammer
Bammy Decree
Bams
Ban Papeega
Ban Wan Pollo
Ban-yaro
Bana Besadii Diori
Bana Breemu
Bandar Tenloss
Bandin Dobah
Bandis Yong
Bandor (Moff)
Bandor Mokk
Bandor Ootka
Bandwin Cor
Bandy Geffer
Bane Malar
Bane Nothos
Bane Werth
Bane's Muun contact
Baniss Keeg
Banjaxx Wab
Banley
Banna
Bannamu
Banner Sumptor
Bannidge Holt
Banno
Bannoc G'noc
Bannos
Banok Ral
Banol Starkiller
Bant Eerin
Bant Eerin's Padawan
Bant'ena Fhernan
Banu Hydia
Banyon Craddok
Banz
Bao-Dur
Baous Gapuois
Bar Oplut
Bar'injar
Bar-Kooda
Bara (Mikan)
Barabbula
Barada
Barada (Kelkad's father)
Barada K'lar
Barada M'Beg
Barada Rakul
Baradis (Galactic Alliance)
Baradis (Republic)
Baraduk
Barak
Baral
Baramak
Baranj
Baras Perosei
Baratatta Spirit-Leader
Barb Mentir
Barbas
Barbo
Barcel
Barcelle
Barclo
Bard Cobral
Bardack
Bardan Jusik
Bardan Jusik's wife
Barden Golah
Bardent Lourge
Barderia navigator
Bardian Aelto
Bardo (IG-88)
Bardo (Taris)
Bardo Klinj
Bardron
Barduun
Bareesh Fenn'ak Torill
Barel Ovair
Barel Ovair's father
Barel Ovair's grandfather
Barev
Bargos (Hutt)
Bargos (Mon Calamari)
Bargthron
Bargu
Barich
Barid Mesoriaam
Barik
Barin Trevina
Barion Raner
Baris
Barit Saiy
Barit Saiy's father
Baritha
Barkale
Barkhimkh
Barkin
Barksy
Barlen
Barleos
Barleos Choid
Barlex
Barlin Fugar
Barlon Hightower
Barlow
Barma Fel'Lona
Barn Sinkko
Barnab Chistor
Barnaby
Barneeson
Barney
Barnley
Baro
Baron Deathmark
Barosa Warren
Barosa Warren's sexual partner 1
Barosa Warren's sexual partner 2
Barpotomous Drebble
Barquin D'an
Barr Faldrin
Barr Moutil
Barra
Barra-Rona-Ban
Barraak
Barrage
Barrarrao
Barratk'l
Barret
Barret Herand
Barrga
Barrisk Favvin
Barrison Draay
Barriss Offee
Barrit Bosch
Barrow Oicunn
Barry
Barsay
Barse
Barse Neomen
Barsen'thor (Galactic War)
Barsen'thor (Second)
Barshnis Choard
Barsoulentinial Enkhet
Barst Roite
Barstead
Barsus
Bartam
Bartaph
Bartell Issk
Barth
Barthalemew Windsloe
Barthis
Barthis Belangus
Barthow Quince
Bartokk Queen
Barton Coburn
Baruche Sloane
Barukka
Barzur Antilles
Bas
Bas Bishop
Bas-Ton
Bas-Ton (imposter)
Basal Moor
Basbakhan
Bascko
Bascome
Bash Fateau
Bashenn
Basher
Basher (stormtrooper)
Bashinan Hodizwen
Bashrar
Bashun
Basile
Bask Modl
Baskol Yeesrim
Bassi Vobah
Basso
Bastian
Bastila Shan
Bastila Shan's father
Bastori Rak
Bastra
Basuda
Basz Maliyu
Bat'theria
Bataal Bandu
Bataui Zeel
Batcheela (Ewok)
Bathens
Bathos
Bathoz
Batono
Bator
Batral Orcel
Bats
Battz
Batu Rem
Batu Rem impostor
Batza
Bava
Bavik Vannor
Bavris
Bax Kholer
Baxendahl
Baxton
Bay-Yon Siu
Bayaar
Baydo Chasdy
Baylis Archan
Baysden
Baz
Baz Korral
Baze Joz
Baze Malbus
Bazel Warv
Bazine Netal
Bazurkah
Be
Bea (Human)
Bea (female)
Beadle Lubboon
Beak
Bear (Jedi)
Bearsh
Bearus
Beast of Vodal Kressh
Beata Reesh
Beatas
Beatonn
Beau
Beauty Queen
Bec Lawise
Becca Westone
Bechdo Ervekk
Beck Ollet
Becka
Beckar
Becker
Becker (security guard)
Beckman
Beda Ies
Bedal Cerroux
Bedamyr
Bedareux
Bedd
Beddek
Bedoch
Bedran Veb
BeeLee Amdas
Beebe
Beebo (Human)
Beebo (Rodian)
Beebox
Beed Thane
Beeda
Beedo
Beejinz
Beekly Grimlok
Beel Acton
Beelyath
Beelzlit Grathan
Beem Dwaller
Been
Beena
Beeyon Nace
Beez
Beezar Pert
